Step,Energy
0,3.92373e+06
200,3.92373e+06
400,3.92373e+06
600,3.92373e+06
800,3.92373e+06
1000,3.92374e+06
1200,3.92374e+06
1400,3.92374e+06
1600,3.92374e+06
1800,3.92374e+06
2000,3.92375e+06
2200,3.92375e+06
2400,3.92376e+06
2600,3.92377e+06
2800,3.92378e+06
3000,3.9238e+06
3200,3.92382e+06
3400,3.92385e+06
3600,3.92388e+06
3800,3.92391e+06
4000,3.92395e+06
4200,3.924e+06
4400,3.92404e+06
4600,3.92409e+06
4800,3.92414e+06
5000,3.92419e+06
5200,3.92425e+06
5400,3.92431e+06
5600,3.92436e+06
5800,3.92443e+06
6000,3.92449e+06
6200,3.92455e+06
6400,3.92462e+06
6600,3.92469e+06
6800,3.92476e+06
7000,3.92483e+06
7200,3.9249e+06
7400,3.92497e+06
7600,3.92505e+06
7800,3.92513e+06
8000,3.92521e+06
8200,3.9253e+06
8400,3.92538e+06
8600,3.92547e+06
8800,3.92557e+06
9000,3.92566e+06
9200,3.92576e+06
9400,3.92586e+06
9600,3.92597e+06
9800,3.92608e+06
