Step,Energy
0,3491.47
200,3506.71
400,3547.22
600,3615.3
800,3715.41
1000,3854.92
1200,4047.56
1400,4376.13
1600,4662.58
1800,5108.68
2000,5824.25
2200,7138.69
2400,9671.26
2600,20447.3
2800,16026.9
3000,6692.05
3200,4500.89
3400,3498.72
3600,2894.43
3800,2473.04
4000,2165.45
4200,1931.19
4400,1747
4600,1598.24
4800,1475.38
5000,1372
5200,1283.69
5400,1207.32
5600,1140.54
5800,1081.6
6000,1029.15
6200,982.177
6400,939.842
6600,901.465
6800,866.509
7000,834.524
7200,805.15
7400,778.068
7600,753.018
7800,729.773
8000,708.143
8200,687.965
8400,669.096
8600,651.407
8800,634.788
9000,619.146
9200,604.397
9400,590.461
9600,577.278
9800,564.787
