Iteration Step: -1
-0.268044 -0.296915 0.477096 
0.195593 -0.790643 0.179724 
0.487533 -0.604236 -0.836909 
0.788995 -0.012604 -0.694266 
0.000458 0.452742 -0.386578 
0.075838 -0.148961 -0.119846 
-0.909787 -0.677419 0.884701 
-0.441877 -0.923948 -0.645009 
0.209937 0.914182 -0.427229 
0.855953 0.784661 0.042817 
-0.017365 -0.818720 -0.529344 
-0.949583 0.579211 -0.777886 
0.256996 0.215125 -0.480270 
0.676748 0.041658 0.210852 
0.661855 -0.600574 -0.118686 
0.688284 -0.371136 0.312479 
0.395733 -0.074068 0.744194 
-0.420698 -0.093539 -0.690359 
-0.979308 -0.142247 0.796075 
-0.129002 0.004669 0.354717 
-0.403241 0.233680 0.389142 
-0.407270 0.901669 0.940001 
0.841670 0.659474 0.554308 
0.471175 0.894650 0.367595 
0.378277 0.698050 -0.567492 
-0.470321 -0.346965 -0.965636 
0.793573 0.388775 0.631153 
-0.055940 -0.183569 -0.853206 
0.422468 0.652272 -0.264687 
-0.449141 -0.555040 -0.560350 
-0.254433 -0.580615 -0.038972 
0.613392 -0.988891 -0.666555 
0.289773 -0.689444 -0.031831 
-0.438215 -0.719352 -0.012726 
0.209937 0.836909 0.421186 
-0.305338 -0.377850 0.127171 
-0.456954 0.645375 -0.769585 
0.504135 0.258034 0.614734 
0.725883 0.536363 0.788202 
-0.380169 0.971984 0.706290 
0.594653 -0.903378 0.171850 
0.603870 -0.924924 0.100070 
0.997436 -0.941221 -0.521043 
-0.775140 -0.751457 -0.582629 
0.588244 -0.824396 0.431684 
-0.360881 -0.523606 0.972533 
0.598010 0.728019 -0.609424 
-0.636464 0.915342 0.797601 
0.628712 -0.974548 0.206214 
-0.709830 -0.546678 -0.839045 
-0.946471 0.650746 -0.851253 
-0.490951 -0.844783 -0.510056 
0.672170 -0.998108 0.757744 
0.633839 -0.988769 -0.056429 
0.117161 -0.857112 0.080355 
0.906613 0.663381 -0.882382 
-0.611866 -0.664907 -0.322367 
0.844539 0.314982 0.760430 
0.047700 0.143651 -0.779839 
0.839229 -0.900998 -0.823969 
-0.692251 -0.062960 -0.284463 
0.165624 -0.974059 0.451949 
0.704825 -0.819208 -0.334086 
-0.430280 0.511155 0.008026 
0.568651 0.415082 0.987793 
-0.787713 0.643666 -0.514023 
-0.727470 -0.551256 0.592761 
0.520310 -0.952025 0.923154 
-0.429304 -0.644459 -0.623341 
-0.331095 0.662648 0.735282 
-0.574938 -0.436995 0.241188 
-0.746696 0.265603 -0.475814 
-0.145665 0.939390 0.934751 
0.443770 0.359111 -0.631947 
-0.254433 -0.447432 0.189489 
-0.184545 0.345317 -0.696890 
-0.486557 -0.048311 -0.896115 
0.342937 -0.981262 -0.584826 
0.211768 0.652821 0.224403 
0.007294 0.534715 -0.431135 
0.457015 -0.750725 0.565111 
-0.673330 0.418256 -0.425214 
0.560656 -0.537584 0.121250 
0.141453 -0.876522 0.769951 
-0.170568 0.747002 0.527940 
-0.590320 0.373638 -0.182104 
-0.655751 0.025422 -0.352641 
0.851558 0.266701 -0.725883 
0.905087 -0.013825 -0.724723 
