Iteration Step: -1
-1.662877 2.135609 2.088916 
-1.762825 0.439085 1.348384 
1.324580 1.529511 -0.102466 
-1.341212 2.386624 0.346156 
1.257744 -1.847667 -0.638981 
2.016434 -0.183492 -1.340144 
-2.189322 -2.128437 1.018174 
0.565432 -2.294000 -2.314753 
-0.051195 2.122944 0.883129 
0.114216 -0.490509 -1.510895 
-0.555666 0.658818 2.297357 
1.395535 -1.237602 -0.175252 
-1.336634 -0.848949 0.251701 
-1.398434 1.230888 -1.574679 
-0.379269 1.885663 -1.288263 
-2.137440 0.514313 -0.912122 
0.850780 1.168478 2.339320 
-2.366634 2.447508 -0.229423 
-2.367397 -1.920454 -0.042344 
1.293909 -1.348994 1.895428 
0.178457 1.987899 -1.243400 
-2.149037 -2.199545 1.406827 
-0.828349 1.924726 1.208915 
-2.369991 0.215995 0.020219 
-0.854747 -0.405667 1.605350 
-0.667211 -2.122486 1.603366 
-1.754738 -0.366298 1.622593 
0.991165 -1.464049 -1.076006 
-1.438871 0.828654 0.053331 
-1.750008 -0.130238 -0.830332 
0.040971 0.480590 1.367153 
2.211295 -1.760994 0.828501 
-1.322291 1.118885 1.764046 
-1.115375 2.145375 -2.138966 
1.769234 2.396695 0.459532 
1.252251 -1.358608 -2.320399 
0.252159 -0.582217 -1.290704 
1.163442 2.270501 0.440916 
1.016037 0.037919 0.188833 
-0.100635 1.284753 1.661809 
1.321223 1.001541 -0.600070 
1.366390 0.507904 1.308252 
-1.362728 -0.771584 0.409024 
-1.353725 -0.094989 -1.584750 
-2.028031 -1.715064 2.061602 
1.166494 -1.673711 -0.903272 
0.724128 -0.812021 -1.517609 
-0.823466 -1.385922 0.616703 
-0.113147 2.312616 0.790811 
-2.346187 -1.049913 -1.850871 
1.671880 1.448637 -1.844462 
1.346706 1.575747 2.075640 
-1.055864 0.077288 -0.780129 
-0.496612 -0.518281 0.276422 
-2.114551 1.867046 -0.853679 
1.076922 -0.042802 0.006333 
1.659062 0.327540 -1.276666 
1.941664 1.627171 0.704901 
-0.850932 -0.361721 0.726722 
-1.942732 -0.563601 0.628910 
-1.258507 -1.984237 0.696203 
0.667821 0.556123 -0.379879 
2.193289 -0.280694 0.079730 
-0.325709 -0.951338 0.756020 
-2.444151 0.046617 -0.064318 
2.387234 -1.070666 -1.786935 
-1.508454 -2.435301 -1.285668 
0.063402 -0.349056 0.523926 
0.760750 2.478485 -1.341823 
2.110889 0.621891 0.632878 
0.816141 -2.414396 -2.282861 
0.696509 -2.212058 -0.078814 
1.913740 1.839122 -1.817606 
-0.119404 1.175192 0.755104 
0.584506 -0.767159 0.123829 
1.407132 -1.762062 -0.727790 
1.318476 0.706122 -2.191458 
2.072741 -0.490661 0.171438 
0.528352 2.116383 1.189993 
-1.737342 1.024277 1.333277 
-2.102191 0.213248 -2.072741 
-0.060961 -2.073809 1.305048 
-0.283288 -0.939283 -0.154653 
2.188101 1.167562 0.154958 
0.374538 -0.364620 1.888409 
0.539796 -0.065233 2.059618 
0.462889 -1.490295 2.109668 
-0.252769 1.966689 -0.631199 
-1.462523 0.710700 -1.340907 
-2.274010 -2.070452 0.907392 
-0.852153 0.180288 -0.247734 
-0.010300 0.084002 0.054704 
-2.120197 1.855297 0.806680 
-1.673254 0.254906 -1.175649 
0.490814 0.375607 -0.020829 
-1.232414 -1.780526 0.843760 
-1.614505 -0.074084 -0.167318 
1.197012 -0.316095 1.975997 
2.298883 0.863292 -0.576113 
-0.570315 -1.345942 0.413297 
0.748695 -0.310907 -1.606571 
-0.716193 -2.154225 1.561098 
0.224998 -2.277062 -1.771523 
1.298028 -1.557588 0.032884 
0.804697 -1.349605 1.435972 
2.366940 -2.369228 -0.278710 
-0.430998 -0.927839 2.492676 
-0.164418 -0.460906 1.312830 
0.456633 2.402188 0.779977 
0.627995 -1.893750 -2.079760 
-1.351131 -1.925947 0.873516 
-0.092547 -0.364315 1.815317 
0.876415 -1.856670 0.181051 
