Iteration Step: -1
-0.997726 1.281365 1.253350 
-1.057695 0.263451 0.809031 
0.794748 0.917707 -0.061479 
-0.804727 1.431974 0.207694 
0.754647 -1.108600 -0.383389 
1.209861 -0.110096 -0.804086 
-1.313593 -1.277062 0.610904 
0.339259 -1.376400 -1.388852 
-0.030717 1.273766 0.529878 
0.068529 -0.294305 -0.906537 
-0.333399 0.395291 1.378414 
0.837321 -0.742561 -0.105152 
-0.801981 -0.509369 0.151021 
-0.839061 0.738533 -0.944807 
-0.227561 1.131397 -0.772958 
-1.282464 0.308588 -0.547273 
0.510468 0.701087 1.403592 
-1.419981 1.468505 -0.137654 
-1.420438 -1.152272 -0.025407 
0.776345 -0.809397 1.137257 
0.107074 1.192740 -0.746040 
-1.289422 -1.319727 0.844096 
-0.497009 1.154836 0.725349 
-1.421995 0.129597 0.012131 
-0.512848 -0.243400 0.963210 
-0.400326 -1.273492 0.962020 
-1.052843 -0.219779 0.973556 
0.594699 -0.878429 -0.645604 
-0.863323 0.497192 0.031999 
-1.050005 -0.078143 -0.498199 
0.024583 0.288354 0.820292 
1.326777 -1.056597 0.497101 
-0.793374 0.671331 1.058428 
-0.669225 1.287225 -1.283380 
1.061541 1.438017 0.275720 
0.751350 -0.815165 -1.392239 
0.151296 -0.349330 -0.774422 
0.698065 1.362301 0.264550 
0.609622 0.022752 0.113300 
-0.060381 0.770852 0.997086 
0.792734 0.600925 -0.360042 
0.819834 0.304743 0.784951 
-0.817637 -0.462950 0.245415 
-0.812235 -0.056993 -0.950850 
-1.216819 -1.029038 1.236961 
0.699896 -1.004227 -0.541963 
0.434477 -0.487213 -0.910565 
-0.494079 -0.831553 0.370022 
-0.067888 1.387570 0.474487 
-1.407712 -0.629948 -1.110523 
1.003128 0.869183 -1.106677 
0.808023 0.945448 1.245384 
-0.633518 0.046373 -0.468078 
-0.297967 -0.310968 0.165853 
-1.268731 1.120228 -0.512207 
0.646153 -0.025681 0.003800 
0.995438 0.196524 -0.765999 
1.164998 0.976302 0.422941 
-0.510559 -0.217032 0.436033 
-1.165639 -0.338160 0.377346 
-0.755104 -1.190542 0.417722 
0.400693 0.333674 -0.227927 
1.315974 -0.168416 0.047838 
-0.195425 -0.570803 0.453612 
-1.466491 0.027970 -0.038591 
1.432341 -0.642399 -1.072161 
-0.905072 -1.461180 -0.771401 
0.038041 -0.209433 0.314356 
0.456450 1.487091 -0.805094 
1.266533 0.373135 0.379727 
0.489685 -1.448637 -1.369717 
0.417905 -1.327235 -0.047288 
1.148244 1.103473 -1.090564 
-0.071642 0.705115 0.453063 
0.350703 -0.460295 0.074297 
0.844279 -1.057237 -0.436674 
0.791086 0.423673 -1.314875 
1.243645 -0.294397 0.102863 
0.317011 1.269830 0.713996 
-1.042405 0.614567 0.799967 
-1.261315 0.127949 -1.243644 
-0.036576 -1.244285 0.783029 
-0.169973 -0.563570 -0.092791 
1.312860 0.700537 0.092975 
0.224723 -0.218772 1.133045 
0.323878 -0.039140 1.235771 
0.277734 -0.894177 1.265801 
-0.151662 1.180013 -0.378719 
-0.877514 0.426420 -0.804544 
-1.364406 -1.242271 0.544435 
-0.511292 0.108173 -0.148640 
-0.006180 0.050401 0.032823 
-1.272118 1.113178 0.484008 
-1.003952 0.152944 -0.705390 
0.294488 0.225364 -0.012497 
-0.739448 -1.068316 0.506256 
-0.968703 -0.044450 -0.100391 
0.718207 -0.189657 1.185598 
1.379330 0.517976 -0.345668 
-0.342189 -0.807566 0.247978 
0.449217 -0.186544 -0.963942 
-0.429716 -1.292535 0.936659 
0.134999 -1.366237 -1.062914 
0.778817 -0.934553 0.019730 
0.482818 -0.809763 0.861583 
1.420164 -1.421537 -0.167226 
-0.258599 -0.556703 1.495605 
-0.098651 -0.276543 0.787698 
0.273980 1.441313 0.467986 
0.376797 -1.136250 -1.247856 
-0.810678 -1.155568 0.524110 
-0.055528 -0.218589 1.089190 
0.525849 -1.114002 0.108631 
1.024186 -0.617130 1.020341 
0.466338 0.081439 -0.829905 
0.627659 1.195853 -0.789987 
0.757668 0.919630 0.240562 
0.840526 -0.547639 -1.066759 
-0.377529 0.421018 -0.118885 
0.673803 0.029710 -1.234397 
-0.637822 -0.285333 0.792459 
0.397305 0.664556 0.295862 
-1.063189 -1.470244 0.647252 
1.401853 0.050768 -0.219230 
-0.565218 -0.390072 0.374966 
-0.569613 1.047441 -0.183889 
0.901502 -0.603854 -1.390133 
0.550936 -1.367611 0.860851 
-0.157430 0.777078 0.654027 
1.378689 -0.175192 -0.298608 
0.242393 1.141560 0.003891 
-0.318567 0.927229 0.548189 
0.502411 0.261437 0.604404 
-0.516877 0.493896 -0.700629 
0.697699 0.563845 0.902509 
-1.004318 -0.221061 -0.541139 
1.337214 -0.010849 -0.136830 
0.040147 1.440489 1.128102 
0.768471 -1.243736 0.733680 
-0.077868 1.345363 0.291376 
-0.121815 0.834941 -1.098346 
-1.097156 0.809946 1.137257 
-0.835490 -1.352412 1.037187 
1.307093 0.897290 1.302881 
-0.017350 -0.656041 0.233879 
-0.175924 -1.147145 -1.452757 
0.161733 -0.195059 0.429991 
0.557711 0.765175 1.345363 
0.635167 -0.797769 1.381802 
-0.264824 0.464232 -0.893078 
0.589572 0.343928 1.249687 
0.580233 -1.099811 0.056719 
1.302423 0.048296 -1.186148 
-0.445830 1.133869 -0.884381 
-1.330348 -0.709143 -0.155324 
0.855999 1.020066 -0.700354 
-1.191092 -0.279473 -0.421201 
-1.383724 1.028581 -0.947829 
0.421659 0.239189 -0.020920 
0.500580 -0.193503 1.441954 
0.203207 -0.465697 -0.150655 
1.322657 0.424223 1.155751 
0.855999 0.644871 0.321955 
0.648991 1.125446 -1.427030 
-0.417539 0.681402 -0.901410 
0.097552 0.204764 0.800882 
-0.326441 0.603763 1.489197 
1.010819 -1.263420 -0.750893 
0.345943 -0.653569 0.125019 
-0.747963 -0.350154 1.011551 
-1.310572 0.455901 -1.393338 
-1.061357 1.462371 -0.137837 
0.843913 -1.365230 0.646062 
-1.155934 0.227378 -0.042070 
-1.300592 0.059099 -1.135609 
0.854625 -0.715827 1.224876 
0.892071 -0.096911 -1.321100 
0.131611 -1.389126 -1.221213 
0.009751 -0.923566 0.028245 
0.377255 -0.664098 1.466491 
1.120411 0.589114 -0.572726 
-0.290277 -1.359279 0.573916 
0.346675 -0.878796 -0.619053 
-1.005875 0.261895 -0.166768 
-1.375759 0.133076 0.892346 
0.929151 1.446715 -0.089404 
0.366634 1.103015 -0.941328 
-0.377438 -0.090777 -0.513398 
-1.112995 -0.915601 -0.072832 
0.685705 0.451689 -0.312799 
1.483795 -1.381436 -0.747047 
0.903150 0.822764 -1.107135 
-0.556978 -1.012284 -1.045885 
1.177908 0.475494 0.697882 
0.235252 -0.268395 -0.753182 
0.568880 0.511567 -1.100635 
1.249779 0.142232 1.061632 
-1.275140 0.656407 0.742378 
-0.097736 -0.015152 0.753456 
-0.265099 -0.044084 0.088672 
0.237266 -1.172597 0.701544 
-0.761971 -0.590213 -0.375515 
-1.394436 -1.011826 0.526490 
1.451750 -0.677648 -0.493347 
0.004532 -0.910291 -0.295129 
0.441527 0.143239 -1.117023 
-1.405606 1.427122 -0.289544 
1.365413 -0.642125 0.357845 
1.130848 -1.316889 -1.165914 
-0.566317 0.945723 -1.401578 
-1.052385 -1.165914 -1.099719 
-0.170797 1.429502 -1.240532 
-0.929243 0.258599 0.591861 
-1.315241 0.969893 1.120045 
1.405332 -1.031419 0.378353 
0.310785 0.679022 0.152486 
0.103137 1.393704 0.503968 
0.064043 0.727821 0.056536 
0.550844 0.146718 1.498169 
-0.563112 1.263054 -0.542421 
0.299707 -0.440336 -0.404263 
-1.011460 -0.984451 0.374142 
0.060289 1.367061 0.683416 
-0.478881 0.143880 -1.424192 
-0.014237 -1.383358 0.280663 
1.290796 -0.310694 -0.054430 
-0.760506 -0.425504 0.010849 
0.918348 1.403775 1.323115 
-1.341700 -1.068041 0.379910 
-0.104877 1.008530 -0.605869 
0.567232 -1.092944 -1.154469 
-0.952406 -1.452208 -0.605869 
0.833293 -0.284051 1.490936 
-0.100574 -1.233299 0.577120 
0.462127 1.268090 1.498718 
0.430723 -1.233116 0.450316 
-1.212149 -1.333003 1.425474 
-0.845286 -0.071551 0.549928 
-1.006058 0.068804 0.374142 
-1.414029 -0.372036 0.923292 
-1.330714 -0.477142 -1.066485 
0.936201 -0.010300 1.358455 
-0.243583 0.485016 -0.424863 
-0.874767 1.160695 -0.370205 
-1.062914 0.607791 1.433897 
-1.200156 -1.216544 0.499939 
-0.379269 1.070421 1.438750 
-1.105762 -0.190481 -0.209433 
-0.392270 -1.026749 0.969069 
1.219382 -1.054308 0.397946 
-0.410764 -0.928968 -0.034562 
-0.497375 -0.780282 -0.452696 
-0.728645 1.223228 -0.896283 
0.094257 -1.236961 -1.265069 
0.467254 -0.713996 -0.384213 
-0.914228 -0.673803 -0.428617 
1.348750 0.618961 0.985000 
-1.273492 -1.379879 0.985641 
-0.428526 -1.185140 1.439848 
0.643498 -1.286309 0.858379 
-1.443968 -1.442778 -0.716468 
0.357021 -0.235069 -1.004593 
0.195334 -0.460936 -0.990585 
-1.202536 -1.282830 0.301080 
-0.950301 0.014695 0.235160 
0.856090 -0.388790 -1.051927 
-0.952406 -0.321039 1.122608 
1.313868 -0.768654 -0.862957 
0.215018 1.053209 1.499084 
0.662359 1.297479 0.564760 
-0.614109 1.270196 0.747505 
-0.767830 -1.302332 -1.138630 
0.571902 -0.020463 1.055040 
-1.436460 -0.280572 -1.120228 
0.060839 -0.095080 0.175649 
-1.054308 0.238365 -0.299158 
0.764077 -0.747230 0.855266 
0.413053 0.757118 0.436949 
