Step,Energy
0,662677
200,663005
400,666741
600,665622
800,668555
1000,676960
1200,673341
1400,675884
1600,682369
1800,686456
2000,692881
2200,696539
2400,702871
2600,708874
2800,721683
3000,727037
3200,734924
3400,742444
3600,754096
3800,772169
4000,780608
4200,793946
4400,805204
4600,823105
4800,839227
5000,859729
5200,881781
5400,906544
5600,934417
5800,961659
6000,994743
6200,1.03338e+06
6400,1.07628e+06
6600,1.12362e+06
6800,1.17998e+06
7000,1.25124e+06
7200,1.32538e+06
7400,1.41442e+06
7600,1.53154e+06
7800,1.67109e+06
8000,1.84793e+06
8200,2.08668e+06
8400,2.45285e+06
8600,3.00758e+06
8800,3.65718e+06
9000,4.3069e+06
9200,4.64417e+06
9400,4.73112e+06
9600,4.39541e+06
9800,3.9189e+06
