Iteration Step: -1
-0.537095 0.169713 0.574450 
0.428510 -0.086947 -0.096652 
0.591540 -0.758965 -0.376324 
-0.780999 -0.918943 0.688833 
-0.595691 0.273415 -0.047700 
0.770501 -0.908200 -0.539964 
0.113804 -0.557665 -0.781060 
0.444563 -0.965697 -0.447371 
-0.474654 0.595263 0.716788 
-0.518784 -0.831721 -0.626148 
-0.367656 -0.870602 0.746086 
-0.139256 0.595935 0.613269 
-0.498642 -0.186499 0.720939 
-0.756462 -0.737053 -0.222755 
0.895016 -0.291910 -0.960631 
-0.652943 0.710440 0.287698 
-0.057100 -0.246376 0.516343 
0.155797 0.890316 -0.302530 
0.192846 -0.467574 0.354228 
0.925047 0.661855 -0.321757 
-0.203650 -0.563219 0.458907 
-0.712394 0.541673 -0.439863 
0.669240 -0.771844 -0.353984 
0.152074 -0.857967 -0.383343 
-0.548204 0.006378 -0.822321 
0.739799 0.755486 0.227393 
0.241676 0.176550 0.370037 
-0.699393 -0.036103 -0.225440 
0.619923 -0.653249 0.970031 
-0.979675 -0.761223 -0.116184 
0.699942 -0.529649 0.861812 
-0.365581 0.481552 -0.346904 
-0.958495 0.205420 0.684011 
-0.449873 0.601794 -0.917295 
0.541917 -0.344279 0.363201 
-0.904538 -0.220069 0.263833 
-0.908994 0.631764 -0.346965 
-0.891354 0.268105 -0.735160 
-0.889096 0.570910 0.754997 
0.713553 0.696768 0.313395 
0.337443 0.544725 -0.757744 
0.035127 -0.876278 -0.937498 
0.595935 -0.404462 -0.941160 
0.050569 0.738639 -0.294961 
-0.875301 -0.758232 -0.427900 
0.994873 0.466414 -0.299173 
-0.542894 -0.377056 0.772088 
0.992920 -0.045747 0.168493 
-0.766167 -0.338054 -0.021210 
0.125462 -0.181921 -0.190161 
-0.159093 -0.933103 -0.904477 
0.203894 0.827448 -0.168493 
0.690176 0.215064 0.776910 
-0.626392 -0.836116 0.958800 
0.544542 -0.783624 0.120457 
-0.451338 0.251747 -0.454573 
0.776666 -0.010102 0.884274 
-0.163732 0.178625 0.225806 
0.094394 -0.749504 -0.967162 
0.804682 0.650136 -0.222999 
0.318094 0.154271 0.873043 
0.918332 0.004486 -0.885189 
-0.499374 0.226234 -0.598498 
-0.030793 0.301065 -0.121006 
-0.704031 -0.641957 0.009186 
-0.881588 0.141881 -0.866451 
-0.750908 0.350749 0.609485 
-0.522507 -0.065218 0.552599 
0.858943 -0.046480 0.842341 
-0.742424 0.016144 -0.657155 
0.094943 0.852107 -0.506943 
-0.356365 -0.338969 -0.686880 
-0.210608 0.844234 -0.090732 
-0.039949 -0.217689 0.192602 
0.218726 0.759575 -0.749382 
-0.363933 -0.708365 -0.226966 
0.490524 -0.225196 0.113132 
0.202063 -0.068819 0.953856 
0.309000 -0.093051 -0.317545 
-0.698599 0.120212 0.552599 
0.554491 0.875973 -0.659352 
0.738334 0.257729 -0.937559 
-0.867244 0.470870 -0.173681 
0.147679 -0.779229 0.633412 
0.975890 0.274331 0.880612 
-0.779229 -0.243446 0.684561 
-0.843135 0.356609 -0.950865 
0.800958 0.329569 0.964476 
-0.928404 -0.417585 0.205176 
0.820795 0.004364 0.817255 
0.782403 0.744438 -0.341105 
-0.753227 0.369915 -0.864315 
-0.829035 0.079379 -0.322855 
-0.832209 -0.405805 0.237098 
0.755364 -0.891720 -0.902219 
-0.830989 -0.314493 0.929807 
-0.863094 -0.604297 -0.254311 
-0.582934 0.182348 -0.390912 
-0.684805 0.019868 0.780938 
0.699515 -0.957701 -0.434553 
-0.217261 -0.485336 0.192602 
0.258705 -0.288675 0.067598 
-0.355571 -0.949950 -0.359172 
0.889645 -0.537217 0.444990 
-0.755058 -0.097690 -0.008332 
0.680471 -0.628956 0.582934 
0.181005 0.080905 -0.557176 
0.217566 -0.045259 0.217994 
-0.623402 0.579028 -0.655507 
0.297281 -0.139195 -0.574572 
-0.642689 -0.660207 -0.068636 
0.443037 -0.803095 -0.026276 
0.221595 0.944945 0.453963 
-0.940733 -0.485641 0.039888 
-0.673269 0.469283 0.871212 
0.122166 0.244789 -0.624622 
-0.365459 -0.828181 0.598621 
-0.848140 -0.148717 0.642262 
0.241249 -0.055879 -0.954039 
-0.905087 0.317301 -0.451949 
0.106845 -0.026032 0.070589 
0.898801 -0.884091 -0.148228 
-0.357830 -0.851192 -0.724113 
0.258217 0.729301 -0.467208 
-0.137181 -0.430097 0.539048 
-0.517685 -0.632252 -0.329020 
0.527146 0.427595 -0.482406 
-0.064364 -0.970092 0.120273 
0.287576 -0.351054 0.401959 
0.292276 -0.315409 0.125095 
0.654775 -0.580493 -0.891537 
-0.841548 0.411664 -0.124912 
0.749687 -0.846553 0.688650 
-0.283914 -0.958312 0.875057 
0.650502 0.991638 0.218238 
-0.831233 0.450240 -0.835505 
0.880489 -0.309732 0.075838 
-0.816950 -0.570482 0.114902 
-0.524583 -0.918332 -0.430341 
-0.542528 0.239967 -0.996643 
-0.626698 -0.616627 0.579272 
-0.724906 0.771477 0.067293 
0.821406 -0.236122 0.491867 
-0.349345 -0.014191 0.528001 
-0.635365 0.980712 0.483261 
-0.284097 0.205725 -0.611011 
0.993652 -0.150182 0.367351 
-0.444502 0.114780 -0.088473 
-0.540391 -0.972839 0.072054 
