Iteration Step: -1
0.147557 -0.651296 0.452559 
0.407514 0.519028 -0.480270 
-0.393719 0.049104 0.232948 
-0.253273 0.277444 0.644887 
-0.620960 -0.566332 -0.402448 
0.172338 0.714896 0.871334 
0.734245 -0.178503 0.341960 
-0.902036 0.159337 0.133518 
-0.605762 0.638966 0.530503 
0.421064 0.859798 -0.513779 
-0.718680 -0.746757 -0.215674 
0.704031 0.480941 0.503952 
-0.461653 -0.957274 -0.326456 
0.203589 -0.132603 -0.567125 
0.048433 -0.467086 -0.778252 
0.093417 -0.459944 -0.789056 
0.867733 0.856319 -0.746147 
-0.222694 -0.267800 -0.571825 
-0.041536 -0.126865 0.072176 
-0.602649 -0.844966 -0.835810 
-0.386334 -0.718986 0.980407 
-0.246193 0.339213 -0.342021 
-0.750786 -0.817316 -0.257057 
0.123508 0.593249 0.191260 
-0.943236 0.136143 -0.587878 
-0.859920 -0.409955 0.648732 
-0.392743 0.914304 -0.662221 
0.230079 -0.402020 -0.792352 
-0.875912 0.317606 0.830927 
0.337138 0.658315 0.751701 
-0.943907 -0.349101 0.147801 
0.063814 0.825251 0.156896 
0.020783 0.152135 0.429609 
0.157079 -0.814142 -0.196326 
0.410382 0.992737 0.240700 
0.723685 -0.997253 -0.218116 
-0.789850 -0.292337 -0.369915 
0.923948 0.233741 -0.474288 
-0.890988 -0.692740 -0.539781 
-0.587817 -0.874691 0.291421 
0.053560 0.124058 0.342204 
0.717155 -0.201819 0.222144 
-0.759880 0.905515 0.147740 
-0.661550 0.996216 0.983154 
-0.577319 0.025117 -0.023469 
0.823725 0.707327 0.343852 
-0.430586 -0.793878 -0.100314 
0.734001 0.430097 -0.113254 
0.597705 0.075716 0.023957 
-0.541429 -0.292520 0.476485 
0.385235 -0.549242 -0.327982 
0.543992 0.427961 -0.511277 
0.762139 -0.254555 0.013825 
-0.182043 -0.445051 0.317240 
0.972228 -0.467818 -0.454695 
-0.642384 0.637196 -0.398480 
-0.591357 -0.657521 -0.336406 
-0.473312 0.923093 0.202734 
0.526963 0.498459 -0.537889 
-0.861263 0.409711 -0.559740 
0.967284 -0.621326 -0.967528 
-0.457198 -0.061434 -0.250465 
0.327006 -0.704642 -0.750175 
0.319803 -0.230445 -0.031526 
-0.031526 0.329691 -0.508774 
-0.418317 0.159642 -0.828974 
-0.033784 -0.690054 -0.759026 
-0.178686 -0.395917 0.576281 
0.054537 0.851985 -0.678762 
0.122043 0.807245 -0.167577 
-0.530137 -0.723502 -0.196265 
0.560595 -0.610584 -0.847530 
-0.849788 -0.480392 0.754692 
0.056612 0.063631 -0.393963 
0.099826 0.109165 -0.904904 
0.009858 -0.235939 -0.385174 
0.107089 0.142552 0.268716 
0.049715 -0.751091 -0.409162 
-0.335063 0.222388 -0.650624 
0.369060 0.262429 -0.041658 
-0.868099 -0.269936 0.946165 
0.664785 0.690054 -0.243202 
-0.853084 0.902280 -0.986267 
-0.086886 -0.478622 0.886837 
-0.686270 -0.839473 0.714896 
-0.676931 -0.907712 0.078219 
0.455855 0.291238 -0.955138 
0.078585 0.271523 0.088412 
-0.439619 -0.378338 -0.721244 
-0.842036 -0.771172 0.717460 
0.126011 -0.451704 0.677541 
-0.149693 0.426313 0.218238 
0.258095 0.881771 -0.447371 
-0.174596 -0.242164 -0.178075 
0.767266 -0.252052 0.978454 
0.011872 0.581286 -0.349284 
-0.034211 0.456099 0.413312 
-0.665761 -0.018342 0.497360 
-0.919004 -0.920652 -0.502060 
0.821528 -0.763848 0.063509 
0.457564 -0.269631 0.579699 
0.958739 -0.640248 -0.481491 
0.256569 0.909421 0.332011 
-0.323588 0.051790 -0.083407 
0.425092 0.103427 0.434492 
0.295389 0.588122 -0.658437 
-0.441939 0.270974 0.906308 
0.328043 0.454817 -0.112155 
-0.847530 -0.788018 -0.400494 
0.526719 0.057344 -0.020966 
0.915464 -0.660146 -0.204077 
0.210059 -0.097263 -0.671560 
0.476730 0.300333 -0.922422 
0.955016 0.502609 0.301004 
-0.667898 -0.537584 0.892697 
-0.557115 -0.878658 -0.199683 
0.345195 0.796319 -0.226600 
0.867428 -0.343303 -0.675710 
0.921262 0.296182 0.232337 
0.075899 0.627552 0.757805 
0.284158 -0.842280 0.205420 
-0.203711 -0.279275 -0.947264 
-0.616504 -0.373089 0.794977 
-0.869320 -0.150548 -0.563402 
0.088961 0.049898 -0.778008 
0.236122 -0.537767 -0.569628 
0.738762 0.423139 -0.410199 
0.007782 -0.842708 0.012665 
0.050264 0.918638 0.534166 
-0.119968 -0.243995 0.970580 
-0.875729 0.692129 0.338298 
-0.181555 0.116245 0.091891 
0.027253 0.019135 0.876583 
-0.561693 0.378094 -0.376446 
-0.528367 0.698721 0.066988 
-0.794366 0.274941 -0.404157 
-0.318705 0.965819 0.610523 
-0.898129 0.866329 -0.555162 
-0.124912 -0.889767 0.923521 
0.215369 -0.198523 0.103427 
-0.817499 -0.137181 0.580676 
-0.287881 -0.740104 -0.373882 
-0.535997 0.629566 -0.473128 
0.780938 0.279336 -0.287454 
0.700919 0.079989 0.038057 
-0.299234 -0.469649 -0.546739 
0.591601 0.678640 -0.833369 
-0.616321 0.976501 -0.516282 
-0.004364 0.735282 -0.558031 
-0.138524 -0.483688 -0.248695 
-0.847835 -0.303934 -0.839106 
0.451582 0.899167 0.528123 
0.414289 -0.052828 0.953795 
-0.983764 0.174596 0.381085 
-0.159154 0.609790 0.688101 
0.058626 -0.056612 -0.197119 
0.614673 0.918882 0.433637 
0.638783 -0.039521 0.348735 
0.165868 0.048006 -0.597095 
0.487655 -0.542894 -0.324137 
0.322062 -0.083163 -0.245338 
-0.503159 -0.850826 0.091098 
0.028230 0.851741 0.151097 
-0.781182 -0.475875 -0.678030 
-0.566149 0.207007 -0.754448 
0.377667 -0.088412 0.499619 
0.679983 0.449507 0.093112 
0.906552 -0.715995 -0.984985 
0.784600 -0.990417 -0.925718 
-0.042879 0.955382 0.244423 
-0.126255 0.658681 -0.448592 
-0.093295 -0.400616 -0.624622 
-0.116855 -0.463118 -0.613453 
-0.123997 0.546617 -0.037690 
-0.983703 -0.525437 0.892453 
-0.081942 0.382855 0.638417 
-0.064058 -0.825068 0.009491 
0.086215 0.721244 0.870418 
-0.861385 0.410749 0.756218 
0.298563 -0.102268 0.003815 
-0.533250 -0.127598 -0.464522 
0.528489 0.501633 0.367534 
-0.505173 -0.047761 -0.053621 
-0.379742 0.342631 0.130406 
0.847774 -0.200842 0.596606 
0.205176 0.928831 0.187231 
-0.397931 0.684805 0.292764 
0.025178 -0.965270 0.837153 
-0.947630 0.336711 -0.857051 
-0.290445 -0.276345 -0.336589 
0.535325 0.662160 0.799066 
0.944273 -0.497299 -0.925596 
0.943724 -0.536851 0.538255 
0.275063 0.390301 -0.327921 
0.287454 0.574450 0.388104 
-0.257973 -0.197913 -0.773003 
0.410504 -0.404706 0.282937 
-0.593799 -0.428022 -0.188818 
-0.990966 -0.720450 -0.442610 
-0.150243 0.366680 0.811274 
-0.336833 0.950194 0.179968 
0.154576 -0.525071 0.381451 
0.939268 -0.739555 0.257546 
-0.050630 0.706473 -0.370037 
0.002960 0.488693 -0.246010 
0.100925 -0.830195 -0.269753 
0.840327 0.570849 0.305155 
0.770440 -0.733451 -0.553636 
0.375530 -0.496323 -0.263344 
-0.892148 -0.414655 0.521592 
-0.250710 0.831172 -0.355815 
-0.937071 -0.241371 0.240150 
-0.977355 -0.084750 -0.568651 
-0.095920 0.005768 -0.506272 
-0.142186 -0.161351 0.766900 
-0.691092 0.276894 0.108066 
0.544114 0.335246 0.769158 
0.562670 0.884274 0.268532 
-0.666311 0.352580 0.607654 
0.734001 0.512680 0.871822 
-0.317972 -0.035920 0.868282 
0.937315 0.785638 -0.226661 
0.896542 -0.382427 0.222083 
0.182653 -0.621509 0.455000 
0.140355 -0.617908 -0.089267 
0.117527 0.270669 -0.161107 
0.959166 -0.811274 -0.436628 
0.419660 0.354961 0.092563 
-0.247597 0.297708 0.147313 
0.965941 0.533738 0.535325 
-0.851192 -0.381024 -0.330729 
0.418744 0.872921 -0.565722 
0.307840 -0.684744 0.843928 
0.800165 -0.392926 0.809564 
-0.980712 -0.427595 -0.428510 
-0.796747 -0.956908 -0.394024 
-0.647023 -0.215003 0.982238 
0.281777 -0.055452 0.985168 
-0.233375 -0.073458 0.240089 
-0.200659 0.046236 -0.710746 
0.276162 0.797235 0.526597 
-0.425092 0.195532 0.688528 
-0.238136 0.424726 0.876034 
0.864864 -0.504807 -0.115574 
-0.009919 -0.616138 0.069552 
-0.163610 0.984313 0.763237 
-0.287576 -0.558275 -0.136814 
0.557176 0.083224 0.817072 
0.525315 0.989502 -0.330851 
-0.899106 -0.495712 0.734977 
0.264809 0.426008 -0.306253 
0.201147 0.828852 -0.948119 
-0.154210 0.274209 0.689993 
0.623280 0.742485 0.390057 
-0.138829 -0.421125 0.178381 
0.320658 -0.768487 -0.123447 
0.199622 -0.689016 -0.539476 
0.739555 0.144444 -0.970519 
-0.337199 0.335917 -0.746330 
0.595996 -0.350017 -0.983276 
-0.682485 -0.759453 0.559923 
0.311014 -0.466475 0.961669 
-0.648305 -0.789605 -0.299234 
0.309244 0.215369 -0.853633 
0.771661 0.445357 0.545091 
0.812311 -0.903500 0.794855 
0.624256 0.563707 -0.914426 
0.840815 -0.407697 0.854671 
0.806757 -0.694754 -0.066866 
-0.873775 -0.751823 -0.905393 
0.188330 0.862667 -0.765130 
0.778863 -0.100009 -0.867611 
-0.043489 0.598926 0.249001 
0.108860 -0.813044 -0.034516 
-0.922788 -0.011200 0.559557 
-0.795221 -0.893918 -0.558824 
0.758110 -0.389325 -0.047517 
0.986084 -0.044771 -0.878231 
0.092319 0.160436 -0.461531 
-0.282998 -0.794488 0.425825 
-0.124241 -0.991516 0.056917 
0.644704 0.814875 0.008759 
0.186743 0.030610 0.674673 
0.755242 -0.502670 -0.665029 
-0.051485 0.552660 -0.748833 
-0.118870 0.752922 0.537339 
-0.396283 0.523057 -0.763298 
0.788324 -0.728813 -0.789300 
-0.528489 0.699515 -0.661489 
-0.331095 -0.071932 -0.005463 
0.580737 -0.030610 0.098117 
-0.072237 -0.783074 -0.089755 
0.026338 0.162694 0.804437 
-0.491501 0.870724 0.692129 
-0.567370 -0.890866 0.986389 
0.529588 -0.130894 0.022187 
-0.829524 0.493149 -0.674917 
0.922056 0.250343 -0.084078 
0.826777 -0.483871 -0.545274 
0.346782 0.399396 -0.260292 
0.300272 -0.258583 -0.968993 
