Step,Energy
0,984363
200,1.13796e+06
400,1.29156e+06
600,1.44517e+06
800,1.59877e+06
1000,1.75237e+06
1200,1.90597e+06
1400,2.05958e+06
1600,2.21318e+06
1800,2.36679e+06
2000,2.52039e+06
2200,2.674e+06
2400,2.82761e+06
2600,2.98121e+06
2800,3.13482e+06
3000,3.28843e+06
3200,3.44204e+06
3400,3.59565e+06
3600,3.74925e+06
3800,3.90286e+06
4000,4.05647e+06
4200,4.21008e+06
4400,4.36369e+06
4600,4.5173e+06
4800,4.67091e+06
5000,4.82452e+06
5200,4.97814e+06
5400,5.13175e+06
5600,5.28536e+06
5800,5.43897e+06
6000,5.59258e+06
6200,5.7462e+06
6400,5.89981e+06
6600,6.05343e+06
6800,6.20704e+06
7000,6.36066e+06
7200,6.51428e+06
7400,6.6679e+06
7600,6.82151e+06
7800,6.97513e+06
8000,7.12876e+06
8200,7.28238e+06
8400,7.436e+06
8600,7.58963e+06
8800,7.74326e+06
9000,7.89689e+06
9200,8.05053e+06
9400,8.20416e+06
9600,8.35781e+06
9800,8.51146e+06
