Iteration Step: -1
-0.849254 0.380795 -1.587954 
1.286126 -1.415677 2.323756 
2.496033 -1.686682 -0.632267 
-0.995743 2.393338 -0.184255 
-1.499146 2.181540 0.341884 
0.100787 -0.212485 -2.069079 
-1.350062 -0.618229 -2.341456 
-0.109485 -0.677892 0.316096 
2.464599 1.766945 1.072344 
0.089801 0.662481 -1.155354 
0.024338 -1.977676 1.814554 
1.060289 1.154744 -1.002151 
-2.367855 2.395932 -0.762581 
0.310450 1.276055 0.648289 
-1.585818 0.649358 -0.304651 
-2.299798 -1.114002 0.710547 
0.323725 2.083270 2.367397 
-0.173879 1.090655 2.495880 
0.704749 1.413694 1.926252 
-2.435148 -1.964705 0.051347 
2.400510 1.791360 0.439085 
2.323908 -1.762520 -0.081713 
-0.507904 0.966903 -1.266594 
-1.179464 -1.764046 -1.780526 
-0.766549 2.146596 -1.149098 
0.819193 -1.474120 -1.580019 
-1.246757 0.076067 2.221366 
1.807077 1.079058 0.113300 
-1.261559 1.963485 0.976211 
0.730537 -0.654851 2.398068 
-0.279931 -2.373501 0.493408 
-0.754646 -2.387539 2.453764 
-2.120350 -0.644169 -2.045579 
2.104480 1.115375 1.414304 
-0.384609 0.037462 -2.473907 
1.924573 -0.592440 1.213950 
0.551393 -1.282464 0.874279 
-0.729011 1.443602 -1.646855 
-1.593143 1.627476 0.201193 
-0.601901 -0.406735 -0.862682 
-1.757637 -0.646611 -1.994308 
-1.285821 -0.359127 1.495636 
1.234245 -2.043748 1.400876 
-2.279046 -2.229911 1.624424 
2.391201 -0.958663 2.237236 
-1.565676 1.757027 0.037919 
1.666387 1.679052 0.575961 
-1.239891 0.205771 1.769234 
-0.165944 -1.691107 1.373714 
-0.412381 -1.211051 0.092853 
-1.554384 -2.062059 0.689489 
-1.892987 -0.779824 -2.170705 
0.258568 -1.297876 1.453825 
-1.318934 -1.779763 0.697577 
0.874126 -1.169851 -2.056566 
1.125599 -1.833323 -1.093249 
2.062517 0.830790 0.738014 
1.106067 1.545228 1.863384 
0.498291 -1.024125 -1.803873 
-0.833384 0.915479 2.124622 
0.528504 0.470061 -0.469604 
-0.709479 -2.063280 -0.801492 
-0.750374 1.723456 1.474273 
0.478912 2.244408 2.077319 
-0.280389 -1.499908 -1.516541 
1.252556 1.713386 2.133778 
1.696753 -1.981490 -1.513642 
-2.151326 -1.955550 0.839641 
2.000717 -2.034898 0.547884 
-2.166280 -1.240348 0.281915 
1.563234 2.473296 0.546815 
2.500000 1.747261 -0.688116 
1.594516 -0.968123 -0.780435 
-0.602054 -0.439848 -0.033799 
0.172353 -1.339686 1.811655 
1.283838 0.876720 -1.814554 
1.075701 0.130696 -1.757027 
0.271233 -1.000778 0.442290 
1.968368 -1.829356 0.236442 
1.692327 0.137105 -0.692694 
2.211753 1.059374 0.425199 
1.710486 0.585421 1.851329 
-0.222861 0.458464 1.161306 
1.724525 -0.061571 0.727485 
0.055315 1.330378 0.716651 
1.675237 0.255364 -0.568483 
-0.041887 -1.988510 -0.072100 
-0.862682 1.768013 1.209372 
1.694769 -0.455412 1.217765 
2.190695 2.415311 1.022294 
0.103992 -1.126514 2.437742 
2.112873 -0.685980 2.482757 
-1.431089 2.071063 -1.735816 
-2.422788 -1.626560 2.388150 
-0.552309 1.050829 0.053941 
0.872906 1.748177 0.023881 
-1.246452 1.813791 -0.751595 
-0.667669 -0.176931 2.398221 
-0.370266 0.836894 -2.242882 
2.271569 -1.928999 0.642186 
-1.876354 0.350124 -0.665685 
0.941878 -2.472075 -2.409818 
0.981857 -0.418485 1.958449 
1.897717 -1.070208 -2.347560 
