Step,Energy
0,261445
200,567725
400,480615
600,416165
800,345515
1000,316739
1200,291802
1400,248349
1600,238107
1800,219999
2000,233869
2200,190652
2400,227308
2600,212413
2800,201850
3000,197565
3200,168443
3400,188830
3600,169534
3800,179734
4000,146466
4200,151607
4400,162720
4600,161903
4800,147054
5000,156858
5200,153441
5400,151347
5600,155598
5800,154165
6000,122997
6200,136966
6400,138290
6600,141600
6800,133708
7000,140758
7200,120459
7400,134272
7600,132821
7800,133684
8000,123715
8200,125469
8400,122212
8600,109712
8800,110088
9000,122124
9200,106546
9400,117041
9600,116230
9800,106693
