Iteration Step: -1
-0.509552 0.228477 -0.952773 
0.771676 -0.849406 1.394253 
1.497620 -1.012009 -0.379360 
-0.597446 1.436003 -0.110553 
-0.899487 1.308924 0.205130 
0.060472 -0.127491 -1.241447 
-0.810037 -0.370937 -1.404874 
-0.065691 -0.406735 0.189657 
1.478759 1.060167 0.643407 
0.053880 0.397488 -0.693213 
0.014603 -1.186605 1.088733 
0.636174 0.692847 -0.601291 
-1.420713 1.437559 -0.457549 
0.186270 0.765633 0.388974 
-0.951491 0.389615 -0.182791 
-1.379879 -0.668401 0.426328 
0.194235 1.249962 1.420438 
-0.104327 0.654393 1.497528 
0.422849 0.848216 1.155751 
-1.461089 -1.178823 0.030808 
1.440306 1.074816 0.263451 
1.394345 -1.057512 -0.049028 
-0.304743 0.580142 -0.759957 
-0.707678 -1.058428 -1.068316 
-0.459929 1.287957 -0.689459 
0.491516 -0.884472 -0.948012 
-0.748054 0.045640 1.332820 
1.084246 0.647435 0.067980 
-0.756935 1.178091 0.585726 
0.438322 -0.392910 1.438841 
-0.167959 -1.424101 0.296045 
-0.452788 -1.432524 1.472259 
-1.272210 -0.386502 -1.227348 
1.262688 0.669225 0.848583 
-0.230766 0.022477 -1.484344 
1.154744 -0.355464 0.728370 
0.330836 -0.769478 0.524567 
-0.437407 0.866161 -0.988113 
-0.955885 0.976485 0.120716 
-0.361141 -0.244041 -0.517609 
-1.054582 -0.387967 -1.196585 
-0.771493 -0.215476 0.897382 
0.740547 -1.226249 0.840526 
-1.367428 -1.337947 0.974654 
1.434721 -0.575198 1.342341 
-0.939406 1.054216 0.022752 
0.999832 1.007431 0.345576 
-0.743934 0.123463 1.061541 
-0.099567 -1.014664 0.824229 
-0.247429 -0.726630 0.055712 
-0.932630 -1.237236 0.413694 
-1.135792 -0.467895 -1.302423 
0.155141 -0.778726 0.872295 
-0.791360 -1.067858 0.418546 
0.524476 -0.701910 -1.233940 
0.675359 -1.099994 -0.655950 
1.237510 0.498474 0.442808 
0.663640 0.927137 1.118030 
0.298975 -0.614475 -1.082324 
-0.500031 0.549288 1.274774 
0.317103 0.282037 -0.281762 
-0.425687 -1.237968 -0.480895 
-0.450224 1.034074 0.884564 
0.287347 1.346645 1.246391 
-0.168233 -0.899945 -0.909925 
0.751534 1.028031 1.280267 
1.018052 -1.188894 -0.908185 
-1.290796 -1.173330 0.503784 
1.200430 -1.220939 0.328730 
-1.299768 -0.744209 0.169149 
0.937941 1.483978 0.328089 
1.500000 1.048357 -0.412870 
0.956710 -0.580874 -0.468261 
-0.361232 -0.263909 -0.020280 
0.103412 -0.803812 1.086993 
0.770303 0.526032 -1.088732 
0.645421 0.078417 -1.054216 
0.162740 -0.600467 0.265374 
1.181021 -1.097613 0.141865 
1.015397 0.082263 -0.415616 
1.327052 0.635624 0.255120 
1.026292 0.351253 1.110798 
-0.133717 0.275079 0.696783 
1.034715 -0.036943 0.436491 
0.033189 0.798227 0.429991 
1.005142 0.153218 -0.341090 
-0.025132 -1.193106 -0.043260 
-0.517609 1.060808 0.725623 
1.016861 -0.273247 0.730659 
1.314417 1.449187 0.613376 
0.062395 -0.675909 1.462646 
1.267724 -0.411588 1.489654 
-0.858653 1.242637 -1.041490 
-1.453673 -0.975936 1.432890 
-0.331385 0.630497 0.032365 
0.523743 1.048906 0.014328 
-0.747871 1.088275 -0.450957 
-0.400601 -0.106159 1.438933 
-0.222160 0.502136 -1.345729 
1.362942 -1.157399 0.385311 
-1.125813 0.210074 -0.399411 
0.565127 -1.483245 -1.445891 
0.589114 -0.251091 1.175070 
1.138630 -0.642125 -1.408536 
1.079577 -0.469909 0.432554 
-0.955885 -1.276330 -1.110248 
1.191916 0.564944 1.125721 
0.431730 -0.113025 1.151814 
-0.131519 -0.822581 -0.234062 
-0.142323 1.456877 -0.098285 
1.239250 -1.117115 0.531068 
0.479797 1.212882 -0.269127 
-1.091571 -0.352260 -0.878246 
-0.375515 -1.086169 -0.665929 
0.212821 -1.044877 1.044786 
1.269006 0.208701 -0.285974 
-0.026414 0.858104 -0.470916 
0.172079 -0.809763 -0.332026 
0.373226 -1.124165 1.254174 
0.006272 -0.704291 1.210593 
0.929609 -0.431638 -0.862316 
0.250267 -0.987655 0.295496 
-0.009751 -0.732765 -0.500763 
0.191946 -0.898572 0.452513 
-0.392819 -0.864330 -1.171224 
0.516419 0.657598 1.136616 
0.945265 -1.154378 0.048753 
1.010087 -0.836589 0.059282 
1.407804 -0.928053 -0.582064 
1.261132 -0.347957 0.918256 
-0.698614 -0.912671 0.977401 
1.255913 0.021195 0.136464 
-0.014328 -0.627110 -0.457732 
0.842357 0.343287 -1.165273 
0.933729 -0.287439 0.588107 
-0.480712 -1.459166 0.676824 
0.849864 -0.912854 -1.171224 
1.298028 0.937574 0.806925 
0.813334 1.207663 0.722968 
0.843272 -0.183981 -0.767006 
0.229576 0.094714 0.434202 
-0.895825 -0.900311 0.060564 
1.040575 -0.898846 -1.193289 
-0.425047 1.488464 -0.669225 
1.047716 -1.437559 -0.447935 
0.549288 -1.293634 -0.758858 
0.218955 1.216910 0.966140 
-0.370754 0.832103 -1.409452 
-0.655858 -0.952864 -0.018998 
0.691839 -0.153218 -1.214713 
-0.734687 -1.382077 0.069079 
-0.116596 1.445433 -0.972549 
-1.003952 0.712531 0.346217 
1.371365 0.666387 0.765908 
1.249321 -0.535096 -0.971541 
-0.079150 0.893994 -0.502869 
0.074755 -0.368831 1.070147 
1.239982 -0.854533 0.930982 
-0.645146 -0.496460 -0.788156 
-1.156301 -0.851970 0.757668 
0.686071 -1.361110 0.683783 
0.285241 -0.592868 0.155416 
-0.439787 1.402493 1.303980 
0.372402 0.159993 1.114368 
-0.362880 -0.289361 -0.425596 
-0.188925 -1.352138 -0.977767 
0.126942 -1.340144 1.462462 
-0.049577 1.422178 1.118305 
0.772317 0.326533 0.762429 
1.347377 1.286401 0.754280 
1.493958 0.296045 0.114033 
0.075030 0.852977 1.285669 
0.323328 -1.203360 -1.199149 
0.454711 0.420835 1.214164 
-1.330531 0.053056 0.231590 
-0.429991 0.851146 -0.692206 
0.116596 0.014420 0.392361 
-0.104144 0.192221 0.191214 
-0.284509 -0.682134 0.438231 
0.021470 -0.134724 0.720130 
0.981796 -0.394650 -1.184408 
-0.859752 1.145039 0.694311 
1.415678 -0.509919 -1.218650 
-0.905988 -0.680761 1.498260 
1.205466 0.942061 -0.242576 
-0.328455 1.179556 0.469451 
-1.274956 1.010544 0.519807 
-1.053667 1.239982 -1.448820 
-0.627110 0.992325 -0.357936 
1.066485 0.189932 -0.539674 
1.091754 -0.228294 0.768655 
-0.533998 0.429258 -1.419889 
-0.556795 -0.529603 -0.947737 
0.314081 0.981887 0.431455 
0.244408 0.127033 1.345729 
-1.459716 0.525300 0.269952 
-0.600375 0.260247 0.336238 
-0.655858 0.562471 -0.528046 
0.542512 -0.780648 -0.337794 
-0.915967 0.795572 1.284753 
0.320307 -0.422117 -0.006271 
0.232872 0.398038 0.598819 
-0.521546 0.845653 0.002609 
0.040697 1.006241 -0.966140 
-0.787240 -1.156392 -0.064775 
-0.944624 -0.268761 0.178762 
-0.570162 -1.422086 0.036577 
1.078112 1.212058 0.679296 
-0.544343 0.731758 0.207785 
-0.146443 0.553774 -0.613010 
1.252068 1.359371 -0.092883 
1.195578 -1.191000 -0.649541 
-0.808390 -0.633518 0.281762 
-0.312983 0.325984 -0.577944 
0.807199 -0.707404 -1.260765 
-0.037858 -1.304804 1.038560 
0.515137 1.133778 1.491211 
-0.761422 1.038835 -1.304895 
-0.978225 -0.158711 -1.088732 
-0.395840 -0.117603 -0.864238 
-0.200827 0.076220 -1.276788 
-1.061083 -1.288507 0.712622 
-1.431516 -0.838328 0.934462 
-1.338405 1.402310 -0.909192 
-0.995804 1.341701 -1.051836 
-0.916242 -0.081896 0.871105 
0.762978 0.784219 0.282952 
-0.568606 -0.147633 -0.852062 
1.313044 -1.347743 0.686071 
-0.091967 -0.562746 -0.117145 
-0.227103 0.363613 -0.979965 
-1.083972 0.423399 -0.361141 
0.936018 -0.735054 -0.997909 
-0.910840 -1.381161 0.051225 
-0.269402 0.715369 -1.438658 
0.497925 -1.246849 0.796030 
-0.569979 -0.610263 1.124989 
0.646519 -1.438841 -0.885845 
0.843547 -0.140675 1.421720 
1.055956 0.450682 -1.443877 
1.374477 0.536561 0.282403 
-0.294763 -0.307764 0.875134 
1.096973 1.286493 0.287622 
-0.255119 -0.367183 1.323206 
0.748055 -0.242027 0.846935 
-0.904431 -1.150716 0.339351 
-1.358181 1.170034 0.259972 
1.155477 1.320276 -0.841990 
0.851970 -0.742012 0.386135 
1.253807 0.450041 -1.424650 
-0.537477 -1.261773 -1.389950 
-0.926313 0.032914 1.365871 
1.120136 1.334010 0.710700 
1.394437 -0.150471 -0.980331 
0.416898 -0.471282 0.893628 
0.559359 -0.568972 -1.052385 
-0.337336 1.121510 -1.485443 
0.424131 0.476318 1.442961 
0.243492 0.740913 0.765084 
-1.439207 0.344936 0.886761 
-1.114368 0.111103 0.700812 
0.563021 -1.158681 -0.702277 
-0.370479 0.408567 -0.662450 
0.786050 0.036943 0.737068 
0.030259 -1.094958 -0.014603 
-0.855541 -0.985916 -0.333949 
0.932814 -1.391781 0.431730 
-0.951949 -0.960097 1.483795 
0.975845 1.182852 0.876782 
0.561464 -0.340632 -0.475768 
-1.348384 -0.575747 0.555788 
-1.195853 1.415403 0.143422 
1.150807 -0.655400 -1.381253 
-1.172323 0.227561 0.546083 
1.237236 -0.112110 -0.036759 
-0.893261 -1.225242 0.073565 
0.893903 0.801157 1.197501 
-1.276879 -0.606510 -0.839244 
0.340358 -1.389950 -0.370663 
0.685431 -1.090197 0.460021 
-0.888958 -0.620884 -0.000412 
0.992233 -0.662175 1.086718 
0.088946 1.326228 1.492035 
1.378231 -0.627934 0.950209 
0.570620 -1.189901 0.220512 
-1.436644 0.962294 0.057085 
1.487182 -0.928236 0.799417 
-0.368374 -0.151570 0.902417 
0.681127 -1.227531 -1.386196 
-0.741279 0.635716 -0.040971 
0.532441 1.207938 -0.090228 
1.287957 -1.324396 1.218467 
1.095050 -0.545167 -1.324122 
-1.036729 0.562563 -0.897107 
0.142323 0.014328 -0.615024 
-0.622715 1.336207 0.229484 
-0.017350 1.109241 -1.139454 
-1.279168 1.367794 0.841350 
1.486084 0.070910 -1.276421 
0.136097 1.281274 0.602847 
1.319636 0.564302 -1.084246 
-1.272027 0.993423 -0.743751 
-1.186148 1.143758 -1.423826 
-1.033067 -0.076678 0.739540 
-0.968429 0.165395 -1.061541 
-0.308679 1.498169 1.133961 
0.378628 -1.203635 0.786325 
0.562197 -0.857921 -0.369381 
1.340877 1.110981 0.238456 
-1.479492 -0.144154 -0.055162 
