Step,Energy
0,988833
200,990796
400,1.00027e+06
600,1.00219e+06
800,1.03131e+06
1000,1.02974e+06
1200,1.04043e+06
1400,1.05719e+06
1600,1.07591e+06
1800,1.099e+06
2000,1.12846e+06
2200,1.16661e+06
2400,1.20569e+06
2600,1.2505e+06
2800,1.30414e+06
3000,1.3728e+06
3200,1.44108e+06
3400,1.5358e+06
3600,1.65791e+06
3800,1.81489e+06
4000,2.02659e+06
4200,2.32872e+06
4400,2.84319e+06
4600,3.9489e+06
4800,5.8101e+06
5000,6.14692e+06
5200,5.91298e+06
5400,5.40223e+06
5600,4.75575e+06
5800,4.01188e+06
6000,3.50532e+06
6200,3.17711e+06
6400,2.91196e+06
6600,2.70144e+06
6800,2.58107e+06
7000,2.52366e+06
7200,2.49848e+06
7400,2.46847e+06
7600,2.4749e+06
7800,2.46417e+06
8000,2.433e+06
8200,2.4095e+06
8400,2.38212e+06
8600,2.39173e+06
8800,2.44343e+06
9000,2.48537e+06
9200,2.48058e+06
9400,2.39773e+06
9600,2.3634e+06
9800,2.40157e+06
