Iteration Step: -1
-0.091830 0.300821 -0.625904 
-0.335002 0.782403 -0.222327 
-0.894284 -0.382855 -0.917173 
0.069247 -0.973083 -0.669607 
-0.581347 -0.674490 0.603687 
-0.790765 -0.296487 -0.440107 
0.936399 -0.357036 0.455977 
0.426801 0.444990 0.717338 
-0.137120 0.267373 0.240150 
-0.267922 0.560045 -0.015168 
Iteration Step: 0
-3.833740 0.531595 8.597765 
5.218632 -17.599911 11.453191 
3.646542 2.184391 8.751739 
-2.079058 3.254927 2.358446 
1.339235 2.783375 -2.086226 
2.741255 1.361181 -2.891249 
-3.315104 1.849784 0.238569 
-3.500529 -2.104402 -3.544015 
-2.414724 6.465420 -7.584648 
0.531671 0.945320 -6.166704 
Iteration Step: 10
-28.266077 2.306525 72.487076 
42.173668 -139.920212 92.505882 
33.300301 19.199564 75.835487 
-16.662094 29.989595 23.758558 
16.005501 21.828272 -17.746962 
21.446859 15.726464 -15.441478 
-29.697311 17.178530 2.705704 
-28.650324 -17.655930 -28.077162 
-17.133018 46.774929 -55.432751 
5.816676 4.243928 -41.467480 
Iteration Step: 20
-52.644806 4.114193 136.272537 
79.120567 -262.213257 173.544937 
62.886532 36.202259 142.841431 
-31.252062 56.590893 44.974789 
31.551842 39.621223 -33.078247 
38.929905 31.220068 -28.431089 
-55.879017 32.531731 5.198549 
-53.678837 -33.045036 -52.551308 
-31.791693 86.962250 -103.149757 
11.091767 7.687322 -76.494987 
Iteration Step: 30
-77.010841 5.929469 200.033478 
116.065552 -384.499908 254.580780 
92.456795 53.202034 209.828979 
-45.844158 83.159554 66.145653 
47.482574 56.911556 -48.159191 
55.946209 47.186729 -41.696972 
-82.012505 47.891979 7.698786 
-78.678535 -48.395653 -77.011292 
-46.436348 127.120781 -150.835953 
16.365479 11.165093 -111.457466 
Iteration Step: 40
-101.371246 7.748146 263.783539 
153.009674 -506.783691 335.615173 
122.019958 70.200500 276.808319 
-60.437157 109.713707 87.296341 
63.678558 73.867760 -63.029911 
72.660316 63.474075 -55.184917 
-108.124504 63.255287 10.202277 
-103.665375 -63.729107 -101.464928 
-61.074738 167.266449 -198.508362 
21.638720 14.658513 -146.390778 
Iteration Step: 50
-125.728470 9.568758 327.527374 
189.953308 -629.065857 416.648773 
151.579086 87.198219 343.783051 
-75.030655 136.259598 108.435562 
80.091446 90.556122 -77.704971 
89.136429 80.021530 -68.875343 
-134.224289 78.620316 12.707609 
-128.644882 -79.052811 -125.914955 
-75.709572 207.404816 -246.172928 
26.911743 18.160917 -181.307510 
Iteration Step: 60
-150.083603 11.390624 391.267212 
226.896637 -751.346985 497.681885 
181.135635 104.195457 410.754791 
-89.624474 162.800140 129.567368 
96.701294 107.004158 -92.182465 
105.401917 96.804306 -82.767769 
-160.316162 93.986458 15.214131 
-153.619675 -94.370209 -150.362656 
-90.342094 247.538452 -293.832397 
32.184650 21.669159 -216.213470 
Iteration Step: 70
